CPU,Memory,CPU Idle,CPU Nice,CPU User,CPU Wait,Committed VM,Free Physical Mem,RAM,Load Avg,Total Swap,Free swap,used swap,No of Read,Read Bytes,No of Writes,Write Bytes,Total disk space,Used disk space,Free disk space,File count,Total thread count,Daemon thread count,Peak thread count,Running thread count,Rx-bytes,RX-dropped,Rx-error,Rx-frames,Rx-overruns,Rx-packets,Speed,TX-Bytes,TX-Carrier,TX-Collisions,TX-Dropped,TX-Errors,TX-Overruns,TX-Packets,Heap-InitUsage,Heap-Committed,Heap-Used,Heap-Max,NonHeap-InitUsage,NonHeap-Committed,NonHeap-Used,NonHeap-Max,Currently-Loaded-Class,Total-Loaded-Class
26,90,87978770,52470,27475460,2886120,5456,772,7680,2.26,959,700,27.01,261805,2147483647,270778,75671748608,363390783488,265298145280,98092638208,22601728,41,28,31,31,336424243,0,0,0,0,317158,-1,43919406,0,0,0,0,0,188806,127926272,290455552,61215176,1791492096,2555904,66715648,63534024,-1,9427,9427
39,90,87990680,52470,27482370,2886230,5460,784,7680,2.08,959,700,27.01,261805,2147483647,270786,75672055808,363390783488,265298149376,98092634112,22601728,46,29,35,32,336424243,0,0,0,0,317158,-1,43919406,0,0,0,0,0,188806,127926272,290455552,70379584,1791492096,2555904,66846720,63776336,-1,9457,9457
32,91,88002690,52470,27487980,2887580,5460,678,7680,2.07,959,700,27.01,262397,2147483647,270862,75675242496,363390783488,265297022976,98093760512,22601728,46,27,35,30,336424305,0,0,0,0,317159,-1,43919499,0,0,0,0,0,188807,127926272,290455552,71853192,1791492096,2555904,66846720,63805848,-1,9459,9459
59,93,88008890,52470,27499020,2889460,5460,548,7680,2.22,959,700,27.01,262964,2147483647,270873,75676438528,363390783488,265297825792,98092957696,22601728,46,27,35,30,336817816,0,0,0,0,317443,-1,43923217,0,0,0,0,0,188839,127926272,290455552,72590128,1791492096,2555904,66912256,63837240,-1,9460,9460
38,93,88020260,52470,27505840,2890330,5460,504,7680,2.21,959,700,27.01,263535,2147483647,270917,75678093312,363390783488,265297833984,98092949504,22601728,46,27,35,30,336817816,0,0,0,0,317443,-1,43924181,0,0,0,0,0,188843,127926272,290455552,73326976,1791492096,2555904,66912256,63862960,-1,9460,9460
25,94,88034410,52470,27510030,2890890,5460,498,7680,2.19,959,700,27.01,263588,2147483647,270960,75678547968,363390783488,265297846272,98092937216,22601728,46,27,35,30,336818054,0,0,0,0,317446,-1,43925183,0,0,0,0,0,188846,127926272,290455552,74063880,1791492096,2555904,67239936,63921184,-1,9460,9460
46,95,88044660,52470,27518370,2891330,5460,359,7680,2.34,959,700,27.01,263798,2147483647,270976,75678695424,363390783488,265297854464,98092929024,22601728,46,27,35,30,336818054,0,0,0,0,317446,-1,43925183,0,0,0,0,0,188846,127926272,290455552,74800864,1791492096,2555904,67239936,63956552,-1,9460,9460
26,95,88059040,52470,27522720,2891360,5460,368,7680,2.55,959,700,27.01,263798,2147483647,270989,75681906688,363390783488,265297846272,98092937216,22601728,46,27,35,30,336818224,0,0,0,0,317448,-1,43925821,0,0,0,0,0,188848,127926272,290455552,74801088,1791492096,2555904,67239936,63962696,-1,9460,9460
46,95,88069520,52470,27530950,2891510,5460,364,7680,2.5,959,700,27.01,263798,2147483647,271003,75682963456,363390783488,265298444288,98092339200,22601728,46,27,35,30,336818374,0,0,0,0,317450,-1,43926009,0,0,0,0,0,188850,127926272,290455552,75538184,1791492096,2555904,67305472,63994640,-1,9460,9460
33,95,88081900,52470,27536720,2892460,5460,369,7680,2.54,959,700,27.01,263799,2147483647,271187,75699060736,363390783488,265298382848,98092400640,22601728,46,27,35,30,336818374,0,0,0,0,317450,-1,43926009,0,0,0,0,0,188850,127926272,290455552,77022992,1791492096,2555904,67371008,64034640,-1,9460,9460
69,98,88086770,52470,27549400,2893680,5460,144,7680,2.5,959,700,27.01,264197,2147483647,271243,75699720192,363390783488,265298202624,98092580864,22601728,46,27,35,30,336818436,0,0,0,0,317451,-1,43926102,0,0,0,0,0,188851,127926272,290455552,77783200,1791492096,2555904,67371008,64036432,-1,9460,9460
34,65,546410,460,508570,588860,5461,2680,7680,6.9,959,959,0,54273,1007620096,4232,136032256,363390783488,265317404672,98073378816,22601728,72,31,36,34,16085872,0,0,0,0,12864,-1,1098003,0,0,0,0,0,5335,127926272,292552704,194408080,1791492096,2555904,66519040,63399904,-1,9446,9446
52,65,555060,460,517640,588900,5461,2684,7680,6.35,959,959,0,54278,1007796224,4232,136032256,363390783488,265317404672,98073378816,22601728,72,31,36,34,16087839,0,0,0,0,12888,-1,1141002,0,0,0,0,0,5373,127926272,292552704,198938288,1791492096,2555904,66846720,63540176,-1,9465,9465
10,65,572900,460,519200,588940,5461,2683,7680,5.84,959,959,0,54278,1007796224,4234,136069120,363390783488,265317412864,98073370624,22601728,72,29,36,32,16088511,0,0,0,0,12897,-1,1142936,0,0,0,0,0,5382,127926272,292552704,199441968,1791492096,2555904,66846720,63574360,-1,9467,9467
13,65,589890,460,521210,589330,5461,2659,7680,5.37,959,959,0,54375,1008742400,4248,136810496,363390783488,265317412864,98073370624,22601728,72,29,36,32,16088731,0,0,0,0,12900,-1,1143250,0,0,0,0,0,5385,127926272,292552704,200448912,1791492096,2555904,66912256,63627328,-1,9468,9468
47,68,598100,460,529740,591650,5461,2490,7680,5.18,959,959,0,55069,1029935104,4284,139558912,363390783488,265317011456,98073772032,22601728,72,29,36,32,16717836,0,0,0,0,13363,-1,1157218,0,0,0,0,0,5497,127926272,292552704,201455856,1791492096,2555904,66977792,63695424,-1,9468,9468
43,69,608300,460,537950,592920,5461,2407,7680,4.77,959,959,0,55549,1036140544,4351,140959744,363390783488,265317335040,98073448448,22601728,72,29,36,32,16718124,0,0,0,0,13367,-1,1157625,0,0,0,0,0,5501,127926272,292552704,201456136,1791492096,2555904,66977792,63723456,-1,9468,9468
15,69,624890,460,540420,593160,5461,2399,7680,4.55,959,959,0,55809,1037398016,4365,142110720,363390783488,265317335040,98073448448,22601728,72,29,36,32,16719955,0,0,0,0,13386,-1,1160704,0,0,0,0,0,5516,127926272,292552704,202463048,1791492096,2555904,67043328,63763920,-1,9468,9468
16,69,640600,460,542840,594330,5461,2381,7680,4.34,959,959,0,55817,1037438976,4386,142331904,363390783488,265317351424,98073432064,22601728,72,29,36,32,16726172,0,0,0,0,13402,-1,1165907,0,0,0,0,0,5531,127926272,292552704,202463328,1791492096,2555904,67043328,63770064,-1,9468,9468
19,69,656210,460,545900,594740,5461,2384,7680,4.15,959,959,0,55889,1037754368,4396,142598144,363390783488,265317363712,98073419776,22601728,72,29,36,32,16726344,0,0,0,0,13404,-1,1166809,0,0,0,0,0,5533,127926272,292552704,203470240,1791492096,2555904,67043328,63790536,-1,9468,9468
28,69,670290,460,550550,594850,5461,2353,7680,3.82,959,959,0,55909,1037848576,4403,142721024,363390783488,265318416384,98072367104,22601728,72,29,36,32,17814734,0,0,0,0,14206,-1,1181595,0,0,0,0,0,5649,127926272,292552704,204477152,1791492096,2555904,67108864,63803528,-1,9468,9468
